,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,vendedorplus,2023-01-31 23:59:22+00:00,1,Twitter for iPhone,"💫 Divido Mensalidade!

→ 🟣 HBO Max: 11 Reais
→ 🔴 Star+: 8 Reais
→ 🔵 Disney+: 8 Reais
→ ⚪ Prime Video: 8 Reais
→ 🔵 Paramount+: 8 Reais

Procuro alguem pra dividir a conta! Vem DM ou whatsapp (na bio)

#plus #comprar #barato #Amazon https://t.co/GoXxGV5eg7"
1,mixlaliter,2023-01-31 23:59:08+00:00,0,Twitter Web App,Soy a la unica que amazon prime desde la compu no me deja recordar la contraseña?
2,humildestream,2023-01-31 23:58:49+00:00,1,Twitter for iPhone,"💫 Divido Mensalidade!

→ 🟣 HBO Max: 11 Reais
→ 🔴 Star+: 8 Reais
→ 🔵 Disney+: 8 Reais
→ ⚪ Prime Video: 8 Reais
→ 🔵 Paramount+: 8 Reais

Procuro alguem pra dividir a conta! Vem DM ou whatsapp (na bio)

#plus #comprar #barato #Amazon https://t.co/9yQO3giDUk"
3,AmazonHelp,2023-01-31 23:58:47+00:00,0,Sprinklr,"@zuyozu4 Amazonです。Amazon Prime Musicのご利用に問題がございましたでしょうか？ご不便をおかけしております。
よろしければ、カスタマーサービスで詳細を確認いたしますので、お手数ですが以下のリンクより選択可能な方法でお問い合わせいただけますでしょうか。 
https://t.co/xPNnVcrqG8 並松"
4,BizMarketplace,2023-01-31 23:58:01+00:00,1,SocialBee,".
#FREE via #KindleUnlimited #eBook
Avail in #Prime #Paperback

Undertakers Inc. The Necromancer's Love by  JC Compton https://t.co/5cNy2lovNB

""The marvelous way with which the entire story is binded together, even amidst so many characters, ... but well done."" - Amazon Review https://t.co/RSwc1DDqpi"
5,DashFoxZ,2023-01-31 23:57:54+00:00,0,Twitter for Android,@GhostAdventures how come I can't watch The haunting of vicksburg on Amazon prime in the UK I have a subscription to Discovery plus I'm does anybody know of any particular reason for this
6,alista100,2023-01-31 23:57:54+00:00,3,Twitter for iPhone,@julianxitoso @retrochenta Donde conseguí la colección de episodios ? Mira los VHS en BestBuy los DVD en Amazon Prime
7,FSUTuckerCenter,2023-01-31 23:57:46+00:00,0,Twitter Web App,"Grammy nominated comedian and podcaster @natebargatze's new hour-long comedy special, Nate Bargatze: Hello World, is out now on Amazon Prime!
See Nate Bargatze when he brings his The Be Funny Tour to the Tucker Center on March 25th!
🎟️Get your tickets now: https://t.co/K3APyhalb6 https://t.co/LSSxN1pMKr"
8,TheBonfireSXM,2023-01-31 23:57:19+00:00,59,Twitter Web App,Check out @natebargatze's new special Hello World steaming now on Amazon Prime! #CrackleCrackle
9,film_critic30,2023-01-31 23:57:03+00:00,1,Twitter for iPhone,Amazon primeビデオの字幕のずれがひどい😢
10,Mel8235,2023-01-31 23:56:43+00:00,0,Twitter for Mac,And why the hell is @Amazon charging me for something that was returned to them 6 weeks ago. 6 weeks ago! You not updating your system is not my problem. I better get the next months of Prime compted for your incompetence.
11,CuponeandoPRnet,2023-01-31 23:56:04+00:00,0,Make (formerly Integromat),Cover Acolchado para Mattress desde solo $20 con el código 3ZQE3MRE en Amazon Prime:👉🏼   https://t.co/ZwaRBgKjz2 (Reg.$40- $47) ¡Tiene 50% ahorro! VARIOS ESTILOS 👀 Oferta por tiempo limitado. #AmazonInfluencer (Exp.020223) https://t.co/m4Zu64BZhN
12,laguasina,2023-01-31 23:54:50+00:00,0,Twitter Web App,Es posta que La Novena Casa va a ser adaptada por Amazon Prime?
13,AsemotaJeremiah,2023-01-31 23:54:36+00:00,4,Twitter for Android,@OliviaBuzaglo Amazon prime all or nothing...please ...
14,JamesMannDWT,2023-01-31 23:51:53+00:00,2,Twitter Web App,"@Russell_Noir @TVTOYMEMORIES ""Wings of an Angel,"" 1969.  Looked at a minute of it (on Amazon Prime).  Unwatchable: Andrews looks like he's been through hell."
15,laurissm0103,2023-01-31 23:50:03+00:00,1,Twitter for iPhone,@Drama_Soulmate Es q no pude verlo antes😭😭 y q va a estar en Amazon prime pero yo no tengo😔
16,crownvic__,2023-01-31 23:50:00+00:00,0,Twitter for iPhone,That's insane. I placed an order and it got shipped and delivered almost two hours later. &amp; paid $3 for the shipping. Now THATS how Amazon prime is supposed to prime.
