,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,Mappy_HTRM,2023-01-31 23:59:59+00:00,1,Twitter for iPhone,"NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun"
1,lyricstitches,2023-01-31 23:59:58+00:00,0,Twitter for iPhone,@alitheloaf Muting Netflix when u load it up so u don’t have to hear the loud bang as the title screen comes up
2,evangfs,2023-01-31 23:59:58+00:00,0,Twitter for iPhone,"Agora que eu troquei de tv eu perdi todas as senhas dos streamings de outras pessoas que eu usava, to mto mal como que eu vou sobreviver só com Netflix agr tipo ??????"
3,julesr502,2023-01-31 23:59:54+00:00,0,Twitter for iPhone,@OfficialJLD @netflix You are one of my faves as is Eddie. I want a sequel just about the parents 😂😅🥰🤣
4,goxfishxgo,2023-01-31 23:59:54+00:00,1,Twitter for iPhone,"@QuinnNoelle94 A year traveling for free, assuming I could do anything I wanted. NETFLIX REVERSE YOUR DECISION #SaveWarriorNun #WarriorNun"
5,megasawa26,2023-01-31 23:59:54+00:00,1,Twitter for Android,"เออ เผลแป๊ปๆ น้อง8loomเข้า Netflix แล้วนี่นาาาา 
*ชื่อไทยแอบน่ารักอยู่นะ #ขอให้ฝันได้ผลิบาน"
6,moonglow75,2023-01-31 23:59:51+00:00,0,Twitter for iPhone,"@AgnesSzalkowska NETFLIX REVERSE YOUR DECISION

#SaveWarriorNun 
#WarriorNun"
7,kjrcup,2023-01-31 23:59:51+00:00,1,Twitter for iPhone,@KawaiiMothra Yeah last time I saw it was Netflix on Xbox360
8,yawltzee,2023-01-31 23:59:50+00:00,3,Twitter for iPhone,I loved working at Blockbuster so much I wince at watching Netflix like I said gods name in vain
9,allybrant4131,2023-01-31 23:59:50+00:00,1,Twitter for iPhone,"@ttnneebn @ItsJuliaPerioDT you all say Buffy but she Kendall on All My Children first (i’m an old) 

NETFLIX REVERSE YOUR DECISION #SAVEWARRIORNUN #WARRIORNUN"
10,ingphotovoltaic,2023-01-31 23:59:49+00:00,7,Twitter for Android,"@arturoangel20 Si los jueces vieran la serie del chapo (netflix), en 3 días ya habrían cerrado el caso."
11,G4mersRD,2023-01-31 23:59:46+00:00,0,Jetpack.com,Esperemos que Netflix haga un buen trabajo https://t.co/nGqVyuuXxo
12,xjviix,2023-01-31 23:59:46+00:00,1,Twitter for Android,Van a subir Summer Strike a netflix😍😍😍 que me la vea otra vez dice https://t.co/37RyXPE417
13,g_stoyanova12,2023-01-31 23:59:44+00:00,0,Twitter for Android,"@avanunice NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun"
14,cinnamongum28,2023-01-31 23:59:41+00:00,3,Twitter for iPhone,the rise of gru is on netflix now 😏😏
15,steph090322,2023-01-31 23:59:38+00:00,1,Twitter for Android,"@Pinkpenguin350 Anytime my friend 😊 

NETFLIX REVERSE YOUR DECISION

#SaveWarriorNun #WarriorNun"
16,worldwide31,2023-01-31 23:59:37+00:00,0,Twitter for Android,"@AymarMtl croisés trop longtemps. La question qui se pose est qui entre Microsoft, Google ou Méta, rachètera Netflix après son move que Netflix fera en mars 2023 ?"
17,codeopod,2023-01-31 23:59:36+00:00,0,Twitter for iPhone,"@Tiffany7117 NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun https://t.co/M9qqfHr3Np"
18,photomeisterAZR,2023-01-31 23:59:32+00:00,0,Twitter Web App,"Behind the Meaning of “Goo Goo Muck” by The Cramps, Featured in the Netflix Series ‘Wednesday’ https://t.co/WCir13FpWx"
19,moonglow75,2023-01-31 23:59:32+00:00,0,Twitter for iPhone,"@avanunice NETFLIX REVERSE YOUR DECISION

#SaveWarriorNun 
#WarriorNun"
20,vitofx,2023-01-31 23:59:31+00:00,1,Twitter Web App,"@joseVanGol @Ptss26 @netflix Por favor, NO."
21,taiisantos_,2023-01-31 23:59:31+00:00,0,Twitter for iPhone,Botei pra assistir Inuyasha na Netflix e não tem a música de abertura 🤡🤡🤡
22,chiaroscuro1610,2023-01-31 23:59:29+00:00,0,Twitter for iPhone,2/24のNetflixね(見よ！)
23,ahmed4_justice,2023-01-31 23:59:28+00:00,0,Twitter for Android,Netflix founder steps down as co-CEO | subscribers rise to 230 million https://t.co/ohqm7H9IgQ via @newspreadng
24,Christo08071953,2023-01-31 23:59:27+00:00,0,Twitter Web App,@AlicePaulina12 Doggy and Netflix
25,moonglow75,2023-01-31 23:59:25+00:00,0,Twitter for iPhone,"@avanunice NETFLIX REVERSE YOUR DECISION

#SaveWarriorNun 
#WarriorNun"
26,madununseptium,2023-01-31 23:59:24+00:00,0,Twitter for Android,Voy a pagar netflix solo pa verme una serie de Freud que me entero que existe.
27,the_news_finder,2023-01-31 23:59:22+00:00,0,Newsfinder autopost,"RT &amp; follow @the_news_finder
Kunchacko Boban’s Next Movie, Ariyippu, Is Now a Netflix Original
READ More : https://t.co/3rhFWr9hjf
#gadget #electronics #smartphone #techie #gadgetstore #techgadgets #coolgadgets #life #gamer https://t.co/WGIlR8dY08"
28,CyberfeedP,2023-01-31 23:59:22+00:00,0,Jetpack.com,Oto jak Netflix zapobiegnie udostępnianiu hasła do konta https://t.co/cUW59qfpHg
29,MrF99015447,2023-01-31 23:59:22+00:00,0,Twitter for Android,@Vikkicms Depends what's on Netflix.
30,thetheboysaliar,2023-01-31 23:59:22+00:00,7,Twitter for Android,"Netflix sharing 1 bulan bisa bayar pake spay, fastrep #zonauang"
31,flutiefan,2023-01-31 23:59:21+00:00,0,Twitter for iPhone,"Gio Benitez says on “I Survived A Crime” on @netflix, in the last several years more RETAIL WORKERS have been killed on the job than police officers. 

let that sink in."
32,KeniaGuima,2023-01-31 23:59:21+00:00,1,Twitter Web App,"@GuimaraesJuh kkkkkkkkkk desse jeito!
NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun"
33,girlscout881,2023-01-31 23:59:20+00:00,0,Twitter for Android,Allrighty I'm gonna watch Troll on netflix. Hope its good.
34,Inspecrg,2023-01-31 23:59:20+00:00,1,Twitter for iPhone,"@Tiffany7117 Job in it! 
NETFLIX REVERSE YOUR DECISION #SaveWarriorNun #WarriorNun https://t.co/olAp20SmvH"
35,Jereczko97,2023-01-31 23:59:20+00:00,1,Twitter for Android,"@fabiolaoc2 @ahicks83 @SimonDavisBarry @TonteriYoung @WilliamMiller @netflix @SpoilerTV Yes, at the very end

#SaveWarriorNun #WarriorNun
NETFLIX REVERSE YOUR DECISION"
36,shiinytears,2023-01-31 23:59:19+00:00,0,Twitter for iPhone,so you can watch crunchyroll on switch but still no netflix
37,mattivory94,2023-01-31 23:59:19+00:00,0,Twitter for iPhone,@Neil_Moxley @Robmozz1 @icxyycxu And that’s just Dong Ren’s Netflix account
38,mynameisodon,2023-01-31 23:59:19+00:00,11,Twitter for Android,eh pagi gini yg jual netflix dah bangun blm ya
39,AriellyDinapoli,2023-01-31 23:59:19+00:00,1,Twitter for Android,Que série é essa eu não estou conseguindo sair de frente da TV. #netflix #fauda
40,NenufaresEferv,2023-01-31 23:59:18+00:00,1,Twitter Web App,Por ahí leí que Run Rabbit run la había adquirido #netflix
41,Nadja_Devic,2023-01-31 23:59:17+00:00,15,Twitter for iPhone,"@jiaraswavier Netflix haven’t even started any investigations since all this happened nor did Wednesdays cast, they know that our boy is INNOCENT"
42,VenikaDewan,2023-01-31 23:59:16+00:00,0,Twitter for iPhone,I need to know who the person at Netflix is that suggested this plan of not allowing ppl to share a Netflix account. They’re about to tank the whole damn company
43,ChainedPatriot,2023-01-31 23:59:15+00:00,0,Twitter Web App,@kylenabecker and ambulance drivers were watching netflix on their phones and not rescuing anyone
44,exileintheearth,2023-01-31 23:59:14+00:00,3,Twitter for Android,"ele é viúvo, pai de uma menina e dono de uma oficina mecânica. ele quer achar uma mãe pra sua filha, mas se acha um bronco - aí ele pede ajuda para a professora da menina, que gosta de ler romances e vai transformá-lo em um lorde

my fair lady com os gêneros trocados VEM NETFLIX"
45,GelatinousGoon,2023-01-31 23:59:11+00:00,0,Twitter Web App,"Does anyone know what the heck happened with @netflix picking up God Country by @Doncates? Like, we just stopped hearing about it?"
46,zicarios69,2023-01-31 23:59:07+00:00,0,Twitter for iPhone,@TheToonCrave + netflix’s monthly cancellation bullshit
47,CLuisC7,2023-01-31 23:59:07+00:00,0,Twitter for iPhone,@LauraDelgado69 @ManuSan79985083 @netflix La gloria (Netflix)
48,AKChrismarlo,2023-01-31 23:59:07+00:00,0,Twitter for iPhone,@tiwaonline Netflix &gt;&gt;&gt;&gt;&gt;
49,MerrillHagan,2023-01-31 23:59:06+00:00,1,Twitter Web App,@AfroDreamMagic @netflix That is so nice! Thanks for watching us! It is so gratifying to see this show find an audience.
50,pdeportiva,2023-01-31 23:59:06+00:00,1,dlvr.it,Netflix acaba con las cuentas compartidas en México y así las bloqueará - SensaCine México https://t.co/R3qCmkvQfs
51,caiokundsen_,2023-01-31 23:59:05+00:00,1,Twitter for Android,"@talytacst Netflix, no vídeo cassete
Enquanto cê me pede"
52,zero926Ren,2023-01-31 23:59:05+00:00,1,Twitter for Android,NETFLIX REVERSE YOUR DECISION #SaveWarriorNun #WarriorNun
53,CaptainAdriana,2023-01-31 23:59:04+00:00,0,Twitter for iPhone,@jiaraswavier Because Netflix isn’t Disney
54,Rumopijec,2023-01-31 23:59:02+00:00,1,Twitter Web App,"@P_Fiala @CT24zive Péťo od té doby co se ČT snažila ovlivňovat volby, jsem ji nezapnul. Mohl by jsi zajít prosímtě do jiné veřejnoprávní televize? Že další není? No tak to se budu dívat na Netflix . Nedá se nic dělat. A budeme mít nějakou veřejnoprávní televizi? Bude jen ta národ rozdělující ČT?👎"
55,BluePotatoMe,2023-01-31 23:59:01+00:00,4,Twitter for iPhone,"NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun https://t.co/bvNZZXc1Bi"
56,real_ricklife,2023-01-31 23:58:58+00:00,6,Twitter for iPhone,"みなさんNetflixには英語の勉強になるコンテンツで溢れてる事にお気づきでしょうか?
私がお勧めするのはNetflixオリジナルのドキュメンタリーです
字幕も英語版を選んでみると良いですよ♫

詳しくはhttps://t.co/FrsM33v4z1

#英語学習 
#英語勉強
#英語コーチング"
57,MiliAlvino,2023-01-31 23:58:58+00:00,0,Twitter for Android,Cuando ponen Goblin en Netflix!!!!! 🥺🥺🥺😭😭
58,fariasdebora,2023-01-31 23:58:57+00:00,1,Twitter for Android,@Nathanael_Bard @netflix_portal @NetflixBrasil Dificilmente tu verá bl na Netflix. Procure em fansubs que tua acha um monte
59,MariusS75737526,2023-01-31 23:58:57+00:00,0,Twitter Web App,@Artpoprr7 @pamelaanderson @netflix This pic is missing a bunch of dicks
60,Rubyxstore_,2023-01-31 23:58:57+00:00,0,Twitter for Android,"Netflix premium 30วัน แอคไทย100% 

ราคา  89 บาท รีทวิตเหลือ 79 บาท

จอเดี่ยวส่วนตัว ล๊อคจอได้ ประกันพร้อมเคลมเมื่อมีปัญหา สนใจสอบถามเพิ่มเติมDmได้เลยค่ะ 

#หารnetflix #หารเน็ตฟลิกซ์ #หารเน็ตฟลิกซ์ราคาถูก #หารnetflixราคาถูก #NetflixTH #หารnetflixรายเดือน #หารnetflixTH https://t.co/LZBUgpFWZO"
61,imsybbillkin,2023-01-31 23:58:54+00:00,2,Twitter for Android,@99tlory เคยดูแปลรักฉันด้วยใจเธอยังคะ อีกหนึ่งผลงานที่อยากให้ลองดูจริงๆ มีใน netflix นะคะ 🥺 น้องเล่นเก่งสุดๆ ผลงานกวาดรางวัลของน้องด้วย
62,PhelipeSiani,2023-01-31 23:58:54+00:00,11,Twitter for iPhone,"Eu sempre gostei de Friends. Eu tinha o box com todos os episódios em DVD, q eu nunca mais abri qdo a série chegou na Netflix"
63,mewmewikki,2023-01-31 23:58:53+00:00,2,Twitter for iPhone,@superxtrella deadass. like netflix knew how to keep me subscribed 😭😭😭
64,aripinkys,2023-01-31 23:58:53+00:00,1,Twitter for Android,@siteptbr qm ela vai namorar agr af se fizerem ela virar lgbt eu derrubo a netflix
65,foemance,2023-01-31 23:58:53+00:00,1,Twitter for Android,it's a special kind of hell seeing that lockwood &amp; co has a near perfect rt score and glowing reviews and knowing that doesn't mean it's safe from netflix canceling it
66,Angebeast,2023-01-31 23:58:50+00:00,79,Twitter for iPhone,@tinnkky @netflix Yeah that subscription is ending as soon as this rolls out
67,awkwardheather7,2023-01-31 23:58:44+00:00,0,Twitter for iPhone,"@sharpesraylla yes!

#SaveWarriorNun #WarriorNun NETFLIX REVERSE YOUR DECISION"
68,KendraCata,2023-01-31 23:58:40+00:00,0,Twitter for Android,"@Shady87717362 NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun
#WarriorNun"
69,12LN21,2023-01-31 23:58:39+00:00,0,Twitter Web App,"@RationalNerd Lets goooo we will save Warrior Nun
NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun"
70,m_cingrosova,2023-01-31 23:58:39+00:00,0,Twitter for iPhone,"@AgnesSzalkowska @SimonDavisBarry @WilliamMiller @DavidBHayter @TonteriYoung @albabaptista_ NETFLIX REVERSE YOUR DECISION
 #SaveWarriorNun"
71,ivens_leo,2023-01-31 23:58:38+00:00,0,Twitter for iPhone,@deluanatt nao achei no netflix daqui :(
72,gainsgod,2023-01-31 23:58:38+00:00,4,Twitter for iPhone,Velma Season 2 has been renewed but Netflix cancelled Santa Clarita Diet 🙄 https://t.co/JS3nDFN8tt
73,bizsolutionsvcs,2023-01-31 23:58:35+00:00,0,dlvr.it,Out With the Kibble and In With the Steak. The World's Richest Dog Has a Net Worth of $400 Million – And a New Netflix Docuseries Too https://t.co/LaYOxHDljw https://t.co/OpiyhhoMH7
74,RMendes508,2023-01-31 23:58:34+00:00,0,Twitter for Android,"@eap13_ NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun https://t.co/8jzOICraBv"
75,lonesomeslut,2023-01-31 23:58:32+00:00,0,Twitter for iPhone,im watching miranda sings netflix show im crying this is so funny 😭
76,kikiwatson_en,2023-01-31 23:58:32+00:00,4,Twitter for iPhone,"諸事情で見てみたいNetflixの海外ドラマがあるのだけれども、どうせなら一人じゃなくて誰かと一緒に観られたらなぁと思ってたりする。
刑事もの‥‥‥グロくないといいな。
とりあえずお耳の薬が飲み終わってから、誰か誘ってみよ！"
77,Weslenlima97,2023-01-31 23:58:30+00:00,0,Twitter for iPhone,"Ter irmão é bom pprt, uma liberou a Netflix e a outra o prime vídeo 🙅🏽‍♂️"
78,mikipivot,2023-01-31 23:58:27+00:00,1,Twitter for iPhone,"NETFLIX REVERSE YOUR DECISION 

#SaveWarriorNun #WarriorNun"
79,KendraCata,2023-01-31 23:58:26+00:00,0,Twitter for Android,"@Shady87717362 NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun
#WarriorNun"
80,Mappy_HTRM,2023-01-31 23:58:25+00:00,0,Twitter for iPhone,"@RationalNerd Yes,I would like too.
NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun"
81,kdramas_cs,2023-01-31 23:58:23+00:00,1,Twitter for iPhone,Viéndome nuevamente #WelcometoWaikiki2 ya que llegó a netflix y porque necesito reírme 🤍
82,Loonthekat,2023-01-31 23:58:23+00:00,2,Twitter for Android,Why would I doubt? NETFLIX REVERSE YOUR DECISION #WarriorNun #SaveWarriorNun
83,whoisvaleria,2023-01-31 23:58:22+00:00,3,Twitter for iPhone,"watch Stutz on netflix, it’s literally free therapy and i know y’all need that"
84,thecourtglasgow,2023-01-31 23:58:20+00:00,9,Twitter for iPhone,@mscots41 Isn’t it amazing what folk get up to in their bedroom/basement dungeons ..bbbzzzz😜get a Netflix subscription or take up crocheting 🧶 or maybe even get a cat or a dog - on second thoughts ..better not .maybe he/they/she/it should get an appointment with their GP. #mentalillness
85,McwilliamsRosey,2023-01-31 23:58:19+00:00,16,Twitter for iPhone,@ahicks83 @SimonDavisBarry @TonteriYoung @WilliamMiller @netflix @SpoilerTV I bloody loved this article. Thank you for your thoughts and support. The analogy regarding the book! I’ve been saying something similar for weeks to my friends and family. All those unfinished stories are damaging to the audience and the creators #SaveWarriorNun #WarriorNun https://t.co/7TL09GkopP
86,kirkgwong,2023-01-31 23:58:18+00:00,0,Twitter for iPhone,"Welp no more Netflix for me (I was using a friend’s log in) 🤷‍♂️ 
Funny tho that the company who used to promote password sharing has now outlawed it"
87,MlNJIJ,2023-01-31 23:58:18+00:00,1,Twitter for Android,"netflix 3 hari 2u buat c ke s dong, urgent😭🙏 #zonauang"
88,g_stoyanova12,2023-01-31 23:58:13+00:00,0,Twitter for Android,"@Jereczko97 @WilliamMiller NETFLIX REVERSE YOUR DECISION 
#SaveWarriorNun"
89,KendraCata,2023-01-31 23:58:13+00:00,1,Twitter for Android,"@ItsJuliaPerioDT Yes 😎 ,we do ! And yes we'll have our season 3!
NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun
#WarriorNun"
90,Kai_Archer_,2023-01-31 23:58:12+00:00,2,Twitter for iPhone,"@elijubility i need to see every one of their reactions to this article. it’s not even a want, it’s a need lol

NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun"
91,Jessica_noseque,2023-01-31 23:58:12+00:00,1,Twitter for Android,"Intenté entrar a netflix que me prestan y al parecer cambiaron la contraseña, diosito ya basta xd"
92,ShereenS11,2023-01-31 23:58:12+00:00,0,Twitter for iPhone,"NETFLIX REVERSE YOUR DECISION
#SaveWarriorNun #WarriorNun"
93,Jeongy10,2023-01-31 23:58:12+00:00,0,Twitter for iPhone,"@riseandgay I want a nose piercing so bad 😤 what would you get??

NETFLIX REVERSE YOUR DECISION 
#SaveWarriorNun #WarriorNun"
94,CeceFaith1,2023-01-31 23:58:12+00:00,0,Twitter for iPhone,@jauregaysthetic NETFLIX REVERSE YOUR DECISION #SaveWarriorNun
95,escritos_caro,2023-01-31 23:58:11+00:00,1,Twitter for Android,"@LucasPlay1901 Outlander! Es de época, me encanta, está en Netflix y sino completa hasta la 6ta temporada en Star +. Y sino Pretty Little Liars que está en HBO"
